id,language,resource_level,proverb_native,proverb_en,fig_or_literal,mk_theme,proverb_type,prescriptive_or_descriptive,structural_pattern,crosslingual_type_id,source_dataset,source_url,license,human_machine_labelled
am_proverbeval_00019,am,low,ሀሰት ሲናገሩ ውቃቢ ይርቃል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00020,am,low,ሀሰት ስለበዚ፥ እውነት ሆነ ዋዚ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00021,am,low,ሀሰት ቢናገሩ ውቃቢ ይርቃል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00022,am,low,ሀሰት ነገር ክፉ፥ ገሃነም እሳት ትርፉ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00023,am,low,ሀሰት አያቀላ፤ እውነት አያደላ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00024,am,low,ሀሰት አያድንም፥ መራቆት መልክ አያሳምርም።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00025,am,low,ሀሰት እያደር ይቀላል፥ እውነት እያደር ይበራል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00026,am,low,ሀሰት እያደር ይቀላል፥ እውነትና ውሃ እያደር ይጠራል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00027,am,low,ሀሰትና ሥንቅ እያደረ ያልቅ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00028,am,low,ሀሳቡ ጥልቅ፤ ነገሩ ጥልቅ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00029,am,low,ሀሳብ ከውለታ አይቆጠርም ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00030,am,low,ሀሳብ ከፊት አይፈታ፤ ሙት አይመታ ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00031,am,low,ሀሳብ የለሽ፥ ወጧ ጣፋጭ ነው።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00032,am,low,ሀሳብ የላለው ሰው፥ ሽንብራ ነቀላ ሲኼድ፥ ምሳዬን ይላል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00033,am,low,ሀሳብ ያገናኛል፤ ፍርሀት ያሸኛኛል ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00034,am,low,ሀሳብና መንገድ ማለቂያ የለውም ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00035,am,low,ሀሳብህን ጨርቅ ያድርገው።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00036,am,low,ሀብታም ለሀብታም ይጠቃቀሱ፤ ድሀ ለድሀ ይለቃቀሱ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00037,am,low,ሀብታም ለሰጠ፥ የድሀ ሙርጥ አበጠ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00038,am,low,ሀብታም ለሰጠው፥ ድሀ ይንቀጠቀጣል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00039,am,low,ሀብታም ሉሰጥ፥ የድሀ ሙርጥ አበጠ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00040,am,low,ሀብታም ሉሰጥ፥ የድሀው ሙርጥ ያብጣል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00041,am,low,ሀብታም ሉሰጥ፥ ድሀ ምርጥ ያወጣል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00042,am,low,ሀብታም ሉደኸይ፥ ሲል ጠላት ያበዚል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00043,am,low,ሀብታም ሲወድቅ፥ ከሰገነት ድሀ ሲወድቅ ከመሬት።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00044,am,low,ሀብታም በከብቱ፤ ድሀ በጉልበቱ። ሀብታም በወርቁ፤ ድሀ በጨርቁ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00045,am,low,ሀብታም በገን዗ቡ ይኮራል፤ ድሀ በጥበቡ ይከበራል። ሀብታም በገን዗ቡ፤ ድሀ በጥበቡ እርስ በርስ ይቃረቡ። ሀብታም ቢሰጥ፥ አበደረ እንጂ አልሰጠም።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00046,am,low,ሀብታም ቢያብር፥ ድህነትን ያጠፋል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00047,am,low,ሀብታም ነው መባል ያኮራል፤ ድሀ ነው መባል ያሳፍራል። ሀብታም እንደሚበላለት፤ ድሀ እንደሚከናወንለት።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00048,am,low,ሀብታም ያለ ድሀ አይኮራም፥ ድሀ ያለ ሀብታም አይበላም። ሀብታም ገን዗ቡን ያስባል፤ ድሀ ቀኑን ይቆጥራል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00049,am,low,ሀብታምና ሀብታም፥ አንተ ለእኔ፥ አንተ ለእኔ ይባባላሉ ምን ነው? ሀብታችኹ ባለበት ልባችኹም ይገኛል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00050,am,low,ሀብታችን በውርስ፥ ክብራችን በአዋጅ (ተገፍፎ)።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00051,am,low,ሀብት እና ዕውቀት አይገኙ(ም) አንድነት። (አይገኙ(ም) ~ አይገኝ(ም)) ሀብት፥ የጠዋት ጤዚ ነው።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00052,am,low,ሀብትና ዕውቀት አይገኝም በአንድነት።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00053,am,low,ሀኪም ሲበዚ በሽተኛው ይሞታል። (በሽተኛው ~ በሽተኛ) ሀኪም የያ዗ው ነፍስ፥ ባያድር ይውላል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00054,am,low,ሀኪሞች እስኪመካከሩ በሽተኛው ይሞታል። ኀ዗ን ለሰነፎች፤ ደስታ ለብልኆች።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00055,am,low,ሀገር ሲያረጅ እምቧጮ ያበቅላል። ሀገር ያለ ዳኛ፤ ትብትብ ያለመጫኛ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00056,am,low,ሀገርን ያለ አንድ ቸር ሰው አይተዋትም። ኀጢአተኛ ኀጢአቱ ያሳድደዋል። ኀጢአት ለሠሪው፤ ምሕረት ለአክባሪው። ኀጢአት ሲደጋግሙት ጽድቅ ይመስላል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00057,am,low,ሃላ ከመዙ፤ ምቀኛህ ብዙ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00058,am,low,ሃይማኖት የላለው ሰው፤ ል጑ም የላለው ፈረስ። ሃይማኖት ያለ ፍቅር፤ ጸልት ያለ ግብር።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00059,am,low,ሆቴል ቢያብር ገን዗ብ ያስገኛል። ሆኖ ከመገኘት፥ መስል መታየት። ሆደ ሰፊ፤ ነገር አሳላፊ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00060,am,low,ሆደ ሰፊ፥ ይሻላል ከአኩራፊ። ሆደ ሲሞላ፥ ፍቅሩ ላላ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00061,am,low,ሆደ ሲሞላ፥ ፍቅሩ ላላ ፤ ሆደ ሲጎድል ሰው ያጋድል። ሆደ ናረት፤ ሙያው ከጅረት።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00062,am,low,ሆደ ወድድ፥ አፉ ክድ፤ ክፉ ለምድ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00063,am,low,ሆደ ፈሪ፥ እግሩ ዳተኛ፤ አዳም ሲዋጋ፥ እርሱ ይተኛ። ሆደን የወደደ፥ ማዕረጉን የጠላ። (የጠላ ~ ይጠላል) ሆደን ያለ፥ ሆደን ተወጋ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00064,am,low,ሆዳ ሆዳ የሚለውን ጌታ ያየዋል፤ አይኔ አይኔ የሚለውን ሰው ያየዋል። ሆዳ በጀርባዬ ቢሆን፥ ገፍቶ ገደል በጣለኝ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00065,am,low,ሆዳ፥ ኑር በዳ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00066,am,low,ሆዳ፥ አታጣላኝ ከ዗መዳ። ሆዳ ከሞላ፤ ደረቴ ከቀላ። ሆዳ ይሙላ፤ ደረቴ ይቅላ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00067,am,low,ሆዳም ሰው ዕንብርት የለውም። ሆዳም (ሰው) ፍቅር አያውቅም። ሆዳም ቢሸከም፥ የበላ ይመስለዋል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00068,am,low,ሆዳም ቢፈተፍት፥ የበላ ይመስለዋል። (የበላ ~ የጠገበ),,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00069,am,low,ሆዳን በልቶኝ ጎኔን ቢያኩኝ አይገባኝ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00070,am,low,ሆድ ሆደን፥ የምትል ወፍ አለች፥ ምን አለች? ሆድ ለማታ በልቶ፥ ለጠዋት።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00071,am,low,ሆድ ለባሰው፥ ማጭድ አታውሰው። (ማጭድ ~ ቢላዋ) ሆድ ለተባባሰው፥ ማጭድ አታውሰው።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00072,am,low,ሆድ ሲሞላ፥ ራስ ባድ ይቀራል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00073,am,low,ሆድ ሲሞላ፥ ፍቅሩ ላላ፤ ሆድ ሲጎድል፥ ሰው ያጋድል። ሆድ ሲያር፤ ጥርስ ይሥቃል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00074,am,low,ሆድ ሲያውቅ፤ ድሮ ማታ። ሆድ ሲጎድል፥ ሰው ያጋድል። ሆድ በላኹ አይልም።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00075,am,low,ሆድ ቢሸከም፥ የበላ ይመስለዋል። ሆድ ባድ(ን) ይጠላል። (ባድ ~ ራብ) ሆድ አየኹ አይልም።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00076,am,low,ሆድ እንዳሳዩት ነው።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00077,am,low,ሆድ ከአልሞላ፥ ጥርስ መቼ ይሥቃል። ሆድ ከአገር ይሰፋል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00078,am,low,ሆድ ከጀርባ ይቀርባል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00079,am,low,ሆድ ወድ፥ አፍ ክድ፥ ክፉ ለምድ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00080,am,low,ሆድ ዕዳ፥ ያስበላል ጎዳዳ። ሆድ ከሐዳድ ይሰፋል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00081,am,low,ሆድ ያባውን ብቅል ያወጣዋል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00082,am,low,ሆድ ይርበዋል፥ ቆዳ ይበርደዋል ክረምት። ሆድ ይፍጀው።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00083,am,low,ሆድ ድንጋይ ልበላ ነው ቢል፥ ጐረሮ በየት አሳልፈህ? አለው።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00084,am,low,ሆድ ዗መድ ሳይወድ፤ አፍ እህል ሳይለምድ። ሆድ የሸሸገውን ብቅል ያወጣዋል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00085,am,low,ሆድ፥ የእኔ ነው ሲሉት፥ ቁርጠት ሆኖ ይገድላል። ሆድ ያበላውን ያመሰገናል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00086,am,low,ሆድና ግንባር አይሸሸጉም። (አይሸሸጉም ~ አይሸሸግም) ሆድን በጎመን ቢደልሉት፥ ጉልበት (በ)ዳገት ይለግማል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00087,am,low,ሆድህና ልጅህ አይጣላህ። ሆድህና ልጅህ አይጥሉህ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00088,am,low,ሆድህን ጎመን ሙላው፥ ጀርባህን ለጠላት አታሳየው። (አታሳየው ~ አታሳይ),,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00089,am,low,ለሀብት መትጋት፥ ሰውነትን ያከሳል፤ ገን዗ብን ማሰብ፥ እንቅልፍ ይነሣል። ለኀጥአን የወረደ፥ ለጻድቃን ይተርፋል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00090,am,low,ለሆዳም ሰው ማብላት፤ ውቅያኖስን ለመደልደል መቃጣት። ለሆዳ ጠግቤ፤ ለልብሴ አንግቤ። (ለልብሴ ~ በልብሴ) ለሆድ ቁርጠት ብላበት፤ ለራስ ምታት ጩህበት።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00091,am,low,ለሆዳም በሬ ገለባ ያዝለታል። (ገለባ ~ ጭድ) ለሆዳም በቅል ጭድ ያዝለታል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00092,am,low,ለላላ የሚመክር ለራሱ አያውቅም። ለላባ ቅላት ልብሱ ነው።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00093,am,low,ለላሙ መንጃ፤ ለሸማው መቀደጃ። (መቀደጃ ~ መከንጃ) ለላም ቀንዶ አይከብዳትም።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00094,am,low,ለላም ከጥጃዋና ከአላቢዋ፥ ማን ይቀርባታል። ለላም ከጥጃዋና ከአቢላሟ፥ ማን ይቀርባታል። ለላም፥ የሣር ለምለም።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00095,am,low,ለላም ጥጃዋ፤ ለአህያ ውርንጭላዋ። ለላለው፥ ምን ትለው?,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00096,am,low,ለልደት ያልሆነ ቀሚስ ይበጣጠስ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00097,am,low,ለልጅ ሲሉ ይበሉ፤ ለወዳጅ ሲሉ ይጠሉ። (ለወዳጅ ~ ለወገን) ለልጅ አይሥቁለትም፤ ለውሻ አይሮጡለትም።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00098,am,low,ለልጅ አገዳና ቀራ የለውም።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00099,am,low,ለልጅ ከሣቁለት፤ ለውሻ ከሮጡለት (ነገር ተበላሸ)።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00100,am,low,ለልጅ ጨዋታ፤ ለባለጌ ቧልታ። (ቧልታ ~ ቧልት),,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00101,am,low,ለልጅ ጥርስህን፤ ለዝንብ ቁስልህን (አታሳይ)።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00102,am,low,ለመሀን እምዬ፤ ለአገልጋይ እትዬ ብርቋ ነው። (ለአገልጋይ ~ ለባሪያ) ለመኼድና ለመላወስ፥ አዚዥ ራስ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00103,am,low,ለመማር ክፍል መግባት፤ ለመኮረጅ ካሮት መብላት። (ለመኮረጅ ~ ለማለፍ) ለመስማት የፈጠንህ፤ ለመናገር የ዗ገየህ ዅን።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00104,am,low,ለመሪህ አሣ ምሰል።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00105,am,low,ለመራመድ ያቃታት እግር፥ ለእርግጫ ተነሣች።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00106,am,low,ለመስማት የፈጠንህ፤ ለመናገርና ለቁጣ የ዗ገየህ ኹን። ለመሥራት የሚያፍር፥ መብላት አይደፍር(ም)። ለመሥራት ያፈረ፤ ለመብላት ደፈረ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00107,am,low,ለመስጠት አለመቸኮል፥ ከሰጡም ወዱያ አለመጸጸት። ለመስጠት አትቸኩል፤ ሰጥተህም አትጸጸት።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00108,am,low,ለመብላት የጠፋ ቅቤ፥ ስሞት በአፍንጫዬ ይፈስሳል አለ ድሮ። (ይፈስሳል~ይፈሳል),,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00109,am,low,ለመታማት መፍራት።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00110,am,low,ለመነኰሴ፥ መልካም ለሴ። (:_ ሙቀት ያለው ጢቢኛ፥ ለከት፥ ሙልሙል) ለመነኰሴ፥ መልካም ልላ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00111,am,low,ለመከራ የጣፈው፥ ቢነግድ አይተርፈው።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00112,am,low,ለመከራ ያለው መነኰሴ፥ ዳዊቱን ሸጦ አህያ ይገዚል። ለመጪው ትውልድ፥ አይለጉት ሀኬት።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00113,am,low,ለመሆኑ ሳይሆን፥ እንዳት ይሆናል? ቢሆን። (ለመሆኑ ~ ለመሆን),,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00114,am,low,ለሙት የለው መብት።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00115,am,low,ለሚመለከት ለሚያየው፥ ሞት ቅርብ ነው። ለሚስት ያጎርሧል፤ ለተመታ ይክሷል። ለማረም፥ ማን ብልት? ሲሠራው ግን፥ ግድፈት። ለማን ይፈርደ? ለወደደ አይደለም ለወለደ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00116,am,low,ለማን ይፈርደ? ለወደደ፥ አይደለም ለወደደ፥ ለወለደ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00117,am,low,ለማን ይፈርደ? አይደለም ለወደደ ለወለደ። ለማኝ ቢያብድ፥ ስልቻውን አይጥልም። ለማኝ አያማርጥም፤ ማር አይኮመጥጥም። ለማዕበል ወደብ፤ ለነፋስ ገደብ የለውም። ለማየት የፈለገ፥ አይኑን ይገልጣል። ለማያቅህ ታጠን ብልሀል ሀሰን። ለማያውቁሽ ታጥበሽ ቅረቢ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00118,am,low,ለማያውቅ ፎገራ ደሩ ነው። ለማያውቅሽ ታጠኝ። ለማይሞት መድኀኒት አለው።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
am_proverbeval_00119,am,low,ለማይሥቅ ውሻ ነጭ ጥርስ፤ ለማይገላምጥ ድሮ ቀይ አይን ይሰጠዋል። ለማይችለው አይሰጥ።,,,,,,,,ProverbEval,https://huggingface.co/datasets/israel/ProverbEval,unspecified-verify,
