id,language,resource_level,proverb_native,proverb_en,fig_or_literal,mk_theme,proverb_type,prescriptive_or_descriptive,structural_pattern,crosslingual_type_id,source_dataset,source_url,license,human_machine_labelled
yo_oweyor_00011,yo,low,"Ẹní p'Òbúko fálejò, ó sì kàrà tí yóò dàá.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00012,yo,low,"Bí ẹlẹ́bọ ò bá pe ẹni, àṣefín ò yẹni.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00013,yo,low,"Èèrà lóun jẹ, jẹ, jẹ òun șu, șu, su. mélòó lèèrà, tó ń jẹ, ję, jẹ, tóń su,su,su?",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00014,yo,low,Ejò tí kó roníi re níí sanni látàrí.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00015,yo,low,B'ínú tì ń bí Ajànàkú náà nínú n bí Èèrà.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00016,yo,low,Ẹrín ò jẹ wọn ó mọ ìbínú eléyín-gan-an-gan.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00017,yo,low,Àjẹ́gbà ni ti kọ̀m̀kọ̀.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00018,yo,low,"Efe d'ẹfẹ ìyàn, “gbá mi létí, kí n gba ẹrú-ișu.”",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00019,yo,low,Ajá tí ò létí ò ṣé-é dẹ̀gbẹ́ .,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00020,yo,low,"Bí a bá mọ nnkán-an fì pamọ búrúbúrú, kí a níra ení mọ o wáláwàárí.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00021,yo,low,Abiyamọ́ ṣọwọ́ kòtò lu ọmọ-ọ rẹ̀.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00022,yo,low,A rìn fàà lójú akẹ́gàn; a yan kàṣà lójú abúni; abúni ò ní okòó nílé.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00023,yo,low,"Erù omo qjeje, bibà ló bani, ki í pànìyàn (pani)",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00024,yo,low,"Àrùn mẹfà ló ń pàgbà: kò jẹ, kò mu, kò șu, kò tọ, kò sùn, kò wo.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00025,yo,low,Àbámodá kì í kú.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00026,yo,low,Ajíjobì kì í ráre.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00027,yo,low,"Bí a bá láláàfíà, a kì í wa fíafia kirí.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00028,yo,low,A kì í mọ alájá ká pè é ní títà.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00029,yo,low,Àikì í f'ojú rinjú Ọlọjà(Ọba) méjì ló ń kógún (wá) jàlú.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00030,yo,low,Gbogbo eye kọ ló ń jẹ jéró.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00031,yo,low,"Bí ilé kò bá kan ilé, wọn kì í jó àjóràn.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00032,yo,low,"Funfun kò jẹ kí á mọ òbu nínú ẹyin, àilóògùn ònmọ; kò jẹ k'á mọadélébo tó ń sàgbèrè.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00033,yo,low,"Àjẹ́ ń ké, òkùnrùn ò paradà; ó lówó ẹbọ nílé.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00034,yo,low,"Àwòdì òkè tí ń wo ìkaraun kọ̀rọ̀, kí ni yó fìgbín ṣe?",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00035,yo,low,"À ń já ìbàǹtẹ́ ẹ̀ lẹ́hìn, ó ń já tará iwájú.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00036,yo,low,Àìlówólọ́wọ́ kì í ṣàìsàn; àìníṣẹ́ lọ̀ràn.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00037,yo,low,"B'éèyán bá mọojẹ, a kì í tún fií nù ún.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00038,yo,low,"Bí àlejò bá ju oníle lọ, ìbòsí orò làá fi í lọ o.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00039,yo,low,"À ń pòyì ká apá, apá ò ká apá; à ń pòyì ká oṣè, apá ò ká oṣè; à ń pòyì ká kàǹga, kò ṣé bínú kó sí.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00040,yo,low,Ení kú (lo) pe'ra ẹ lágbà.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00041,yo,low,B'ígi bá ń ya pàlàkà ló ti ń pète erúkọ.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00042,yo,low,Ẹni tí 'ò rà kì í san.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00043,yo,low,"Àìlọ́ràá àkàlàmàgbò, a ò lè fi wé ti àtíòro.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00044,yo,low,"B'árá-ilé 'ò fẹràn ẹní a sì máa b'árá-àdúgbò ș'ọrẹ, a à sì máa pa ìmoràn pọ.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00045,yo,low,Bí wọn peni l'ábìfun-rài-rài; ń șe là á pà'fun ọhún mọ.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00046,yo,low,"Bí ọmọdé ò kú, àgbà ní ńdà.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00047,yo,low,Alátiṣe ní mọ àtiṣe ara-a rẹ̀.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00048,yo,low,A-sọ-aré-dìjà ní ń jẹ̀bi ẹjọ́.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00049,yo,low,Ete awo l'ete ogberi.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00050,yo,low,Elékèé lèké ń yé; oun a bá ṣe ní ń yéni.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00051,yo,low,"B'ónísègùn-ikà bá ríbi rò, yóó jàre eni t'ó fiwọ pa.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00052,yo,low,A kì í jẹ oyè ẹnu ọ̀nà kalẹ́ .,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00053,yo,low,‘‘M̀bá wà lỌ́yọ̀ọ́ mà ti so ẹṣin’’; àgùntàn-an rẹ̀ á níye nílẹ̀yí.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00054,yo,low,Ará okó ní òun gbọ́ fínrín fínrín; ta ló sọ fun bí kò ṣe ará ile?,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00055,yo,low,"B'éégún bá wọ'lé àgbẹdẹ kó l'éèwọ, àfara ní 'ò gbọdọ já.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00056,yo,low,"Bí ó di ọdún m ta tí ẹkùn-ún ti ń ṣe òjòjò, olugbe la ó ha rán lọ bẹ̀ wò? I",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00057,yo,low,"Bí a bá gbóńje f'egbę, a á dùró gbàwo bọ ni.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00058,yo,low,Emi ni mo dára tó yìí' larẹwà fin han ara rẹ lénmọ.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00059,yo,low,"B'éèyàn bá ta'jà erùpẹ, yóó gb'owó Ògúlùùtu.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00060,yo,low,"B'ẹni bá ń relé ìmùlẹ, k'ẹni sán ọbẹ-bàbà, kẹni sán ọbẹ-òjé, toríawo eni níí se'ni níhun.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00061,yo,low,"Àbòsí pèléte, n'ọn jọmore. (n'ọn je omore/ọmọ ìyà)",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00062,yo,low,"Ewúrę gun pẹpẹ, àgbébọ ń gun àjà, àkùkọ ń kọ l'órùlé, ọmọ ńgbá baba létí, e pé kò sí nnkan. A ó rẹyìn-in re bí yóó se rí.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00063,yo,low,"B'éèyàn pòòyì nígbà igba, ìdí 'ò ní kúrò níbi tó wà (láàye rę)",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00064,yo,low,A kì í fini joyè àwòdì ká má lè gbádìẹ.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00065,yo,low,Ẹnu-isà là á ti í pínmọ eku.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00066,yo,low,Ẹlẹ́dẹ̀ ń pàfọ̀ ó rò pé òun ń ṣoge.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00067,yo,low,Apẹ́ẹ́jẹ kì í jẹ ìbàjẹ́ .,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00068,yo,low,"Bí a ó jọba lọla, àbá làá kọkọo dá.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00069,yo,low,Ẹrúkọ (tó) lórí kò ní mùndùnmúndùn.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00070,yo,low,Àjà ló lẹrù irọ́ ni pẹpẹ ń pa.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00071,yo,low,"Bí obìnrín bá máa dán èké wò, a da aṣọ dúdú bora.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00072,yo,low,"Ẹni kánjú j'Olúwa, a á sòògùn k'ọjáa kádàrá.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00073,yo,low,"Béèyàn bá mọ o wà, tó mọ o bò, Ọlọrun Ọba Nikan Ní í gbọko lowo irúu wọn.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00074,yo,low,Àtàtàkurá: ẹnu ẹyẹ ò ran òkúta.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00075,yo,low,"A fẹ́ ẹ nílé, a fẹ́ ẹ lóko; bọ́mọ́ bá ti lóyún, kò parí ná?",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00076,yo,low,Adìẹ́ dà mí lóògùn nù; mo fọ́ ọ lẹ́yin.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00077,yo,low,"Bí ìbágbé ò bá wọ̀, ká yàgò fúnra.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00078,yo,low,A-dÍfá-bí-ẹní-ń mùjẹ̀- dÍfá kò rí mu; Amùṣùà aya rẹ̀- ní òun ó fòjò wẹ̀.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00079,yo,low,B'ó bá róbì a á pa; eni tó f'ẹșe (fi ẹșẹbì) kan orí ę wò.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00080,yo,low,"Bí obìnrin ò bá gbé ilé tó méjì, kì í mọ èyí tó sàn.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00081,yo,low,A kì í fașíyàn f'ọkọ lẹệmejì.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00082,yo,low,"Bí a bá rẹkùn, àá wò ó fín ni.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00083,yo,low,Aáyán fẹ́ gẹṣin; adìẹ ni ò gbà fún un.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00084,yo,low,Bí a bá dẹjú làá rímú.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00085,yo,low,"A níṣẹ́ iṣẹ́ ẹ, o ní ò ń lọ sóko; bó o bá lọ sóko ò ń bọ̀ wá bá a nílé.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00086,yo,low,"Àìso àbà ló m'ẹyẹ wá jẹgbá, ẹyẹ kì í jẹgbá.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00087,yo,low,B'óbìnrin sàlejọ ọkọo rẹ níí wí fún.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00088,yo,low,"Ài sùn; àiwo nì ti Baàlé, bọrọ sẹgbẹfa, ọlọrọ ni yóó tán an.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00089,yo,low,Ẹyìn-àmù kì í ș'elé-ìgbín.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00090,yo,low,Àiro òjò mọ ló mójú tìsẹlẹrú.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00091,yo,low,Gẹgẹ ìyàwó ń bọ wá dẹtẹ.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00092,yo,low,4438. Ẹlẹ́nu là ń bi ká tó gbá a.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00093,yo,low,"Bí a kò bá rẹ́ni fẹ̀hìntì bí ọ̀lẹ là ńrí; bí a kò bá rẹ́ni gbójúlé, à tẹra mọ́ṣẹ́ ẹni.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00094,yo,low,Bọ̀rọ̀kìnnín lọ̀tá ìlú; afínjú lọba ń pa.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00095,yo,low,"Ẹni tó ń se rere, kó múra sí rere. Ẹni tó ń sèkà, k'ó múra síkà.Àtoore-àtìkà ọkan kì í gbé.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00096,yo,low,"Bí etu bá gbofá, áá fi han ará ilé e.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00097,yo,low,Èèyàn kì í gbẹsę l'éjì l'éjì (léèkan) kó má subúlébú.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00098,yo,low,Abiyamọ kì í rìn kó ṣánwọ́ ahá.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00099,yo,low,Bí șòbià yóò bá degbò Olúgànbe làá ké é sí.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00100,yo,low,"·Bi ẹ bá féyin arúgbóó rí, kí e bèèrè okọ e lowo e.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00101,yo,low,"Ajániláyà bí àì-lówó-lọ́wọ́, àìlówó baba ìjayà, owó ní ń túniṣe.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00102,yo,low,Ànìkànjẹ ayé kì í dùn; jíjọjẹ ní ńdára.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00103,yo,low,Àjòjì ò r ni jẹ́rìí-i rẹ̀.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00104,yo,low,"Ẹni obìnrin rẹ ń bọ, ina l'olúwa rẹ ń ję.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00105,yo,low,A kì í fara sọfà kí a rójú sinkin ẹni.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00106,yo,low,"B'ójú Akátá bà léwó, ẹnu adìẹ kọ ló yẹ kí a ti gbọ ọ.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00107,yo,low,A kì í ka igún mọ́ ẹran jíjẹ.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00108,yo,low,"Àsẹ-síhìn-ín, àsẹ-sọhùn-ún l'omi koto kì í fi í kún wọnú ilé.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00109,yo,low,Eleyinjúegę lè șài jęleyinjúàánú.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00110,yo,low,A sunkúnrojọ ilé ló ń tú.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00111,yo,low,"Ẹni mọyì obi, ló n jáwé sí i.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00112,yo,low,"Etí yẹrí, etí kan 'ò yẹrí.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00113,yo,low,"Àgbà tí yó tẹ̀ẹ́ , bó fárí tán, a ní ó ku járá ẹnu.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00114,yo,low,Eni pé k Ésù kọlé (se ibùgbé) fóun ni ò gbọn. Ęșu alára nilé lán ló n sùn ikorítá!,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00115,yo,low,"B'ó bá rẹni k'á wí, a kì í gbọndò kí a tún máa fitọ rawọ.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00116,yo,low,"Bí ayá bá mojú ọkọ, alárìnnà a yẹsẹ̀.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00117,yo,low,Abániwí kì í báni débe.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00118,yo,low,Aboyún kì í gbọn kílẹ má jẹ lára ẹ.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00119,yo,low,Ojú kan làdá ń ní.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00120,yo,low,Àgógó lgún kì í pagún.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00121,yo,low,Àyè kì í há adìẹ kó má dèé ìdí àba-a rẹ̀.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00122,yo,low,"Eni egún gún lowo, gún lęsę; ọrọ rẹ gba ljókòó.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00123,yo,low,Àìlàṣọ-lọrùn-un pÀká tápèérò fún gbogbo Mọríwo àti Mọrẹrẹ.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00124,yo,low,"Bí alákẹdun-ún bá rọ̀, tó fọwọ́ ṣẹ́; agbọ̀n la ó fi kó ọmọ òwè níbẹ̀.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00125,yo,low,"Bí alẹ́ bá lẹ́, à fi ọmọ ayò fún ayò.",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00126,yo,low,Agada 'ò morí ẹni rọ ọ (rọ òun) mọ.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00127,yo,low,"Àwòkó, wọ́n ní o bú ọba; ó ní ìgbà wo lòun ráyè bú ọba, kí òun tó kọ igba láàárọ̀, igba lọ́sànán; igba lálẹ́ ?",,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00128,yo,low,Eleyelé parí òwò.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00129,yo,low,Eégún tí ń bẹ́ ọmọ lórí kì í dẹ́rù ba ọmo-ọ tirẹ̀.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00130,yo,low,Àníyàn ladì fi imú ṣe; adìẹ kì í fọnkun.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
yo_oweyor_00131,yo,low,A kì í bínú atọkùn kí á dìgbò lu eégún.,,,,,,,,OWE-YOR,https://huggingface.co/datasets/LingoJr/OWEYOR,apache-2.0,
