ref_idx,source_type,text,theme,main_class,subgroup_code,kuusi_id
104,example,God suits the back to the burden,B,B1,B1c,B1c-13
105,example,Gott gibt nicht mehr Frost als Kleider,B,B1,B1c,B1c-13
106,example,"Ultra posse viri, non vult Deus ulla recuiri",B,B1,B1c,B1c-13
107,example,God's mill grinds slow but sure,B,B1,B1c,B1c-17
108,example,God waits long but hits hard,B,B1,B1c,B1c-17
109,example,Der Götter Mühlen mahlen langsam aber mahlt fein,B,B1,B1c,B1c-17
110,example,"Vindicta Dei tarda, sed gravis (Latin)",B,B1,B1c,B1c-17
111,example,"God sees all things, himself unseen",B,B1,B1d,B1d-12
112,example,Gott sieht alles,B,B1,B1d,B1d-12
113,example,"Noli peccare, deus videt (Latin)",B,B1,B1d,B1d-12
114,example,Dieu voit tout,B,B1,B1d,B1d-12
115,example,"Non peccare, Dio ti vede / Pan Bóg stary gospodarz (Polish)",B,B1,B1d,B1d-12
116,example,The fear of the Lord is the beginning of wisdom,B,B1,B1e,B1e-10
117,example,Initium sapientiae timor Domini (Latin),B,B1,B1e,B1e-10
118,example,El principio de la sabiduría es temer a Dios,B,B1,B1e,B1e-10
119,example,Faith alone makes happy,B,B1,B1e,B1e-11
120,example,Glaube macht selig,B,B1,B1e,B1e-11
121,example,Il n'y a que la foi qui sauve,B,B1,B1e,B1e-11
122,example,"Man is a creature who lives not upon bread alone, but principally by catchwords",B,B1,B1e,B1e-12
123,example,Non in solo pane vivit homo (Latin),B,B1,B1e,B1e-12
124,example,"Who spits against the wind, it falls in his face",B,B1,B1e,B1e-15b
125,example,"Wer den Stein über sich wirft, dem fällt er auf den Kopf",B,B1,B1e,B1e-15b
126,example,"Qui crache contre le ciel, il lui retombe sur le visage",B,B1,B1e,B1e-15b
127,example,Remember that you must die,B,B1,B1e,B1e-18
128,example,"Bedenke, daß du sterben mußt",B,B1,B1e,B1e-18
129,example,Memento mori (Latin),B,B1,B1e,B1e-18
130,example,Pray and work,B,B1,B1e,B1e-19
131,example,Bete und arbeite!,B,B1,B1e,B1e-19
132,example,Ora et labora (Latin),B,B1,B1e,B1e-19
133,example,Trabajar es orar,B,B1,B1e,B1e-19
134,example,"Pray to God, but keep the hammer going",B,B1,B1f,B1f-07
135,example,"God gives us hands, but does not build bridges for us",B,B1,B1f,B1f-11
136,example,A wonder lasts but nine days,B,B1,B1f,B1f-13
137,example,Niuna maraviglia dura più che tre giorni,B,B1,B1f,B1f-13
138,example,What a man desires he easily believes,B,B1,B1f,B1f-14
139,example,Der Wunsch ist der Vater des Gedankens,B,B1,B1f,B1f-14
140,example,Libenter homines quod volunt credunt (Latin),B,B1,B1f,B1f-14
141,example,"A lo que se quiere, se cree",B,B1,B1f,B1f-14
142,example,Bells call to church but do not enter,B,B1,B1g,B1g-17
143,example,"Die Glocke ruft zur Kirche, geht aber selbst nicht hinein",B,B1,B1g,B1g-17
144,example,Non entra a messa la campana e ognun ci chiama,B,B1,B1g,B1g-17
145,example,"Do as I say, not as I do",B,B1,B1g,B1g-18
146,example,Tut nach meinen Worten und nicht nach meinen Werken,B,B1,B1g,B1g-18
147,example,"Fais comme je dis, non comme j'agis",B,B1,B1g,B1g-18
148,example,The nearer the church the farther from God,B,B1,B1g,B1g-20
149,example,Proximus ecclesiae semper vult ultimus esse (Latin),B,B1,B1g,B1g-20
150,example,The day will dawn even without the rooster trl.Armenian,B,B2,B2a,B2a-10
151,example,The day will dawn even without the rooster,B,B2,B2a,B2a-10
152,example,All rivers run into the sea,B,B2,B2a,B2a-11
153,example,Alle Flüsse laufen ins Meer,B,B2,B2a,B2a-11
154,example,Les fleuves retournement à la mer,B,B2,B2a,B2a-11
155,example,"What must be, must be",B,B2,B2a,B2a-12
156,example,No flying from fate,B,B2,B2a,B2a-12
157,example,"Wie's kommen soll, so kommt's",B,B2,B2a,B2a-12
158,example,Sarà quel che sarà,B,B2,B2a,B2a-12
159,example,Inevitable est fatum (Latin),B,B2,B2a,B2a-12
160,example,The fated will happen,B,B2,B2a,B2a-14
161,example,No fence against ill fortune,B,B2,B2a,B2a-14
162,example,Seinem Schicksal kann niemand entgehen,B,B2,B2a,B2a-14
163,example,Inevitable est fatum (Latin),B,B2,B2a,B2a-14
164,example,He that is born to be hanged shall never be drowned,B,B2,B2a,B2a-18
165,example,"Was am Galgen vertrocknen soll, ersäuft nicht im Wasser",B,B2,B2a,B2a-18
166,example,"Qui est né pour la gibet, ne se noiera jamais",B,B2,B2a,B2a-18
167,example,Talk of the wolf and his tail appears,B,B2,B2a,B2a-24
168,example,"Call not a devil, he will come fast enough",B,B2,B2a,B2a-24
169,example,Lupus in fabula (Latin),B,B2,B2a,B2a-24
170,example,"Hablando de Roma, el Papa se asoma",B,B2,B2a,B2a-24
171,example,Nothing is so certain as the unexpected,B,B2,B2a,B2a-25
172,example,"Der Schlag kommt immer dann, wenn man ihn am wenigsten erwartet",B,B2,B2a,B2a-25
173,example,"Quid quisque vitet, nunquam homini satis cautum est in horas (Latin)",B,B2,B2a,B2a-25
174,example,Count your blessings,B,B2,B2b,B2b-10
175,example,What can't be cured must be endured,B,B2,B2b,B2b-13
176,example,Gnaw the bone which is fallen to thy lot,B,B2,B2b,B2b-13
177,example,We must take the world as we find it,B,B2,B2b,B2b-13
178,example,"Wer keinen Kalk hat, muss mit Lehm mauern",B,B2,B2b,B2b-13
179,example,Tempori aptari decet (Latin),B,B2,B2b,B2b-13
180,example,The goat must bleat where she is tied,B,B2,B2b,B2b-17
181,example,"Die Ziege muß grasen, wo sie angebunden ist",B,B2,B2b,B2b-17
182,example,"Où la chèvre est attachée, il faut qu'elle broute",B,B2,B2b,B2b-17
183,example,It is hard to kick against the pricks,B,B2,B2b,B2b-19
184,example,Es ist hart gegen den Stachel auszuschlagen,B,B2,B2b,B2b-19
185,example,Durum est contra stimulum calcitrare (Latin),B,B2,B2b,B2b-19
186,example,Those that God loves do not live long,B,B2,B2b,B2b-25
187,example,Only the good die young,B,B2,B2b,B2b-25
188,example,Die Guten sterben jung,B,B2,B2b,B2b-25
189,example,"Quem dii diligunt, adolescens moritus (Latin)",B,B2,B2b,B2b-25
190,example,Morte fura prima i migliori e lascia stare i rei,B,B2,B2b,B2b-25
191,example,Who hath no horse may ride on a staff,B,B2,B2b,B2b-29
192,example,"Hast du kein Pferd, so brauche den Ese",B,B2,B2b,B2b-29
193,example,Faute de bœuf contente-toi d'un âne,B,B2,B2b,B2b-29
194,example,"A falta de bueyes, labra con burros",B,B2,B2b,B2b-29
195,example,Every man has his cross to bear,B,B2,B2b,B2b-31
196,example,Jeder hat sein Kreuz zu tragen,B,B2,B2b,B2b-31
197,example,Crux est generis omnis (Latin),B,B2,B2b,B2b-31
198,example,À chacun sa croix,B,B2,B2b,B2b-31
199,example,The sun cannot be hidden by a hand trl. Lebanese,B,B2,B2b,B2b-32
200,example,The sun cannot be hidden by a hand,B,B2,B2b,B2b-32
201,example,You must take the world as you find it,B,B2,B2b,B2b-33
202,example,"Nimm die Welt wie sie ist, nicht wie sie sein sollte",B,B2,B2b,B2b-33
203,example,Tempora tempore tempra (Latin),B,B2,B2b,B2b-33
204,example,"Cual el tiempo, tal el tiento",B,B2,B2b,B2b-33
205,example,After me the deluge,B,B2,B2b,B2b-36
206,example,Nach mir die Sintflut,B,B2,B2b,B2b-36
207,example,Après nous le déluge,B,B2,B2b,B2b-36
208,example,"Después de mí, diluvio",B,B2,B2b,B2b-36
209,example,"A blind man may, by fortune, catch a hare",B,B2,B2c,B2c-13
210,example,Auch ein blindes Huhn findet mal ein Körnlein,B,B2,B2c,B2c-13
211,example,Tal volta un ciero trova un ferro di cavallo,B,B2,B2c,B2c-13
212,example,I matti hanno sempre un santo che li protegge,B,B2,B2c,B2c-13
213,example,A blind man may perchance hit the mark,B,B2,B2c,B2c-14
214,example,"I today, you tomorrow",B,B2,B2c,B2c-15
215,example,Everyone in his turn,B,B2,B2c,B2c-15
216,example,"Heute mir, morgen dir",B,B2,B2c,B2c-15
217,example,"Hodie mihi, cras tibi (Latin)",B,B2,B2c,B2c-15
218,example,"Unlucky gambler, lucky lover",B,B2,B2c,B2c-17
219,example,"Glück in der Liebe, Unglück im Spiel",B,B2,B2c,B2c-17
220,example,"Fortuna al gioco, sfortuna in amore",B,B2,B2c,B2c-17
221,example,With a lucky man all things are lucky,B,B2,B2c,B2c-20
222,example,In beato omnia beata (Latin),B,B2,B2c,B2c-20
223,example,Fortune is blind,B,B2,B2c,B2c-20c
224,example,Das Glück ist blind,B,B2,B2c,B2c-20c
225,example,Fortuna caeca est (Latin),B,B2,B2c,B2c-20c
226,example,La fortune est aveugle,B,B2,B2c,B2c-20c
227,example,La fortuna es ciega,B,B2,B2c,B2c-20c
228,example,Evil comes to us by ells and goes away by inches,B,B2,B2c,B2c-21
229,example,"Böses kommt geritten, geht aber weg mit Schritten",B,B2,B2c,B2c-21
230,example,Il male vien a cavallo e se ne va a piedi,B,B2,B2c,B2c-21
231,example,"Today a man, tomorrow a mouse",B,B2,B2c,B2c-22
232,example,"Heute rot, morgen tot",B,B2,B2c,B2c-22
233,example,Irus est subito qui modo Croesus erat (Latin),B,B2,B2c,B2c-22
234,example,"Oggi mercante, domani servitore",B,B2,B2c,B2c-22
235,example,"Whom fortune wishes to destroy, she first makes mad",B,B2,B2c,B2c-23c
236,example,"Wem das Glück zu wohl will, den macht es zum Narren",B,B2,B2c,B2c-23c
237,example,"Stultum facit fortuna, quem vult perdere (Latin)",B,B2,B2c,B2c-23c
238,example,Fortune's wheel is never stopped,B,B2,B2c,B2c-24
239,example,Das Glüksrad geht um,B,B2,B2c,B2c-24
240,example,Fortunae rotam pertimescebat (Latin),B,B2,B2c,B2c-24
241,example,After night comes the day,B,B2,B2c,B2c-24g
242,example,Jede Nacht bringt einen Morgen,B,B2,B2c,B2c-24g
243,example,Trouble never comes crying trl. Livonian,B,B2,B2c,B2c-27
244,example,Trouble never comes crying,B,B2,B2c,B2c-27
245,example,One is not so soon healed as hurt,B,B2,B2c,B2c-33
246,example,Misfortunes never come alone,B,B2,B2d,B2d-14
247,example,Troubles never come alone,B,B2,B2d,B2d-14
248,example,Bad things come in threes,B,B2,B2d,B2d-14
249,example,Es kommt kein Unglück allein,B,B2,B2d,B2d-14
250,example,Nulla calamitas sola (Latin),B,B2,B2d,B2d-14
251,example,If we go forward we die; if we go backward we die; better go forward and die trl. Zulu,B,B2,B2d,B2d-16
252,example,Afr.,B,B2,B2d,B2d-16
253,example,If we go forward we die; if we go backward we die; better go forward and die,B,B2,B2d,B2d-16
254,example,To leap out of the frying pan into the fire,B,B2,B2d,B2d-17
255,example,Aus dem Regen in die Traufe kommen,B,B2,B2d,B2d-17
256,example,Incidis in Scyllam cupiens vitare Charybdim (Latin),B,B2,B2d,B2d-17
257,example,Huyendo del toro cayó en el arroyo,B,B2,B2d,B2d-17
258,example,He would fall on his back and break his nose,B,B2,B2d,B2d-18
259,example,Fortune never turns the key to the poor,B,B2,B2d,B2d-20
260,example,An unlucky man would be drowned in a teacup,B,B2,B2d,B2d-20
261,example,"Wer Pech hat, bricht sich den Finger in der Nase",B,B2,B2d,B2d-20
262,example,"Cui fortuna negat, laedit vel stramine crura (Latin)",B,B2,B2d,B2d-20
263,example,To kill two birds at one shot,B,B2,B2e,B2e-10
264,example,Zwei Fliegen mit einer Klappe schlagen,B,B2,B2e,B2e-10
265,example,In saltu uno duos capere capros (Latin),B,B2,B2e,B2e-10
266,example,Matar dos pájaros de un tiro,B,B2,B2e,B2e-10
267,example,Fortune favors fools,B,B2,B2e,B2e-11
268,example,The biggest fools have the best luck,B,B2,B2e,B2e-11
269,example,A drop of luck rather than a cask of wisdom,B,B2,B2e,B2e-13
270,example,Glück geht über Witz,B,B2,B2e,B2e-13
271,example,Fortuna plus homini quam consilium valet (Latin),B,B2,B2e,B2e-13
272,example,Bonheur passe mérite,B,B2,B2e,B2e-13
273,example,Fortune gains the bride,B,B2,B2e,B2e-16
274,example,"Wer's Glück hat , führt die Braut heim",B,B2,B2e,B2e-16
275,example,"Cui fortuna favet, sponsa perita manet [venit] (Latin)",B,B2,B2e,B2e-16
276,example,"Whom God loves, his bitch brings forth pigs",B,B2,B2e,B2e-19
277,example,"Wer's Glück hat, dem legt der Hahn Eier",B,B2,B2e,B2e-19
278,example,"Dum fortuna favet, parit et taurus vitulum (Latin)",B,B2,B2e,B2e-19
279,example,"À qui la fortune est belle, son bœuf vêle",B,B2,B2e,B2e-19
280,example,He dances merrily whom fortune pipes to,B,B2,B2e,B2e-21
281,example,"Wem das Glück pfeift, der tanzt wohl",B,B2,B2e,B2e-21
282,example,Facile est dare vela secundis (Latin),B,B2,B2e,B2e-21
283,example,La fortune rit aux sots,B,B2,B2e,B2e-29
284,example,It's a small world,B,B2,B2f,B2f-10
285,example,Friends may meet but mountains never greet,B,B2,B2f,B2f-10
286,example,Die Welt ist ein Dorf,B,B2,B2f,B2f-10
287,example,"Berg und Tal kommen nicht zusammen, aber Menschen wohl",B,B2,B2f,B2f-10
288,example,"Occurrunt homines, nequeunt occurrere montes (Latin)",B,B2,B2f,B2f-10
289,example,All roads lead to Rome,B,B2,B2f,B2f-13
290,example,Alle Wege führen nach Rom,B,B2,B2f,B2f-13
291,example,Mille viae ducunt homines per saecula Romam (Latin),B,B2,B2f,B2f-13
292,example,Todo camino va a Roma,B,B2,B2f,B2f-13
293,example,Death and sleep are brothers,B,B2,B2g,B2g-17
294,example,Der Schlaf ist das Bild des Todes,B,B2,B2g,B2g-17
295,example,Somnus est frater mortis,B,B2,B2g,B2g-17
296,example,Sleep is brother to death,B,B2,B2g,B2g-17b
297,example,Nature her custom holds,C,C1,C1a,C1a-10
298,example,What will be will be,C,C1,C1a,C1a-10
299,example,"Was muss sein, das trifft ein",C,C1,C1a,C1a-10
300,example,"Che sarà, sarà",C,C1,C1a,C1a-10
301,example,Nature passes nurture,C,C1,C1a,C1a-11
302,example,Natura rerum humana arte non vincitur (Latin),C,C1,C1a,C1a-11
303,example,Nature draws more than ten oxen,C,C1,C1a,C1a-12
304,example,Natur zieht stärker denn sieben Pferde,C,C1,C1a,C1a-12
305,example,Natura plus trahit quam septem boves (Latin),C,C1,C1a,C1a-12
306,example,Plus tire nature que cent chevaux,C,C1,C1a,C1a-12
307,example,Más tire moza que soga,C,C1,C1a,C1a-12
308,example,There is no sin but stupidity,C,C1,C1a,C1a-16
309,example,Mori morantur quocumque sub axe morantur (Latin),C,C1,C1a,C1a-16
310,example,The wolf must die in his own skin,C,C1,C1a,C1a-20
311,example,Der Wolf stirbt in seiner Haut,C,C1,C1a,C1a-20
312,example,"Le loup est toujours loup, et mourra dans sa peau",C,C1,C1a,C1a-20
313,example,You cannot wash charcoal white,C,C1,C1a,C1a-24
314,example,Einem Mohren kann man nichts weiss machen,C,C1,C1a,C1a-24
315,example,Aethiops non albescit (Latin),C,C1,C1a,C1a-24
316,example,"Fire is the test of gold, adversity of friendship",C,C1,C1a,C1a-25b
317,example,"Das Gold bewährt sich im Feuer, der Freund in der Not",C,C1,C1a,C1a-25b
318,example,"Ignis aurum probat, miseria fortes viros (Latin)",C,C1,C1a,C1a-25b
319,example,"He's the rock, the oak, not to be wind-shaken (Shakespeare)",C,C1,C1a,C1a-27
320,example,A leopard cannot change his spots,C,C1,C1a,C1a-32
321,example,Wolves lose their teeth but not their memory,C,C1,C1a,C1a-33
322,example,"The fox may grow grow grey, but never good",C,C1,C1a,C1a-33
323,example,Der Wolf stirbt in seiner Haut,C,C1,C1a,C1a-33
324,example,Boys will be boys,C,C1,C1b,C1b-11
325,example,Children will do like children,C,C1,C1b,C1b-11
326,example,Jugend hat keine Tugend,C,C1,C1b,C1b-11
327,example,"Juventus, ventus (Latin)",C,C1,C1b,C1b-11
328,example,An ape is never so like an ape as when he wears a doctor's cape,C,C1,C1b,C1b-14
329,example,Jack will never make a gentleman,C,C1,C1b,C1b-14
330,example,"Wenn der Edelstein auch in den Koth fällt, so bleibt er doch ein Edelstein",C,C1,C1b,C1b-20
331,example,Every little helps,C,C1,C1b,C1b-27
332,example,All is fish that comes to his net,C,C1,C1b,C1b-27
333,example,"Alles zählt, auch das Geringste",C,C1,C1b,C1b-27
334,example,Tutto fa numero,C,C1,C1b,C1b-27
335,example,No fine cloth can hide the clown,C,C1,C1b,C1b-31
336,example,The pouch will always smell of the herring,C,C1,C1b,C1b-31
337,example,"Bauer bleibt Bauer, auch wenn er schläft bis Mittag",C,C1,C1b,C1b-31
338,example,Rustica gens nulla genus arte domabile (Latin),C,C1,C1b,C1b-31
339,example,An old fox needs not to be taught tricks,C,C1,C1c,C1c-10
340,example,Non si insegna a nuotare ai pesci,C,C1,C1c,C1c-10
341,example,The things passed off like water from a duck's back,C,C1,C1c,C1c-17
342,example,"Never went out ass, and came home horse",C,C1,C1c,C1c-19
343,example,Cut off a dog's tail and he will be a dog still,C,C1,C1c,C1c-19
344,example,"Ein Aff bleibt ein Aff, er mag König werden oder Pfaff",C,C1,C1c,C1c-19
345,example,"Lupus pilum mutat, non mentem (Latin)",C,C1,C1c,C1c-19
346,example,It is not the healthy that need a doctor,C,C1,C1c,C1c-25
347,example,Der Gesunde bedarf des Arztes nicht,C,C1,C1c,C1c-25
348,example,Il sano non ha bisogno del medico,C,C1,C1c,C1c-25
349,example,Do not cast your pearls before swine,C,C1,C1c,C1c-26
350,example,A turd is as good for a sow as a pancake,C,C1,C1c,C1c-26
351,example,"Asinus stramenta mavult, quam aurum (Latin)",C,C1,C1c,C1c-26
352,example,Nolite mittere margaritas ante porcos (Latin),C,C1,C1c,C1c-26
353,example,It will be all the same a thousand years hence,C,C1,C1d,C1d-09
354,example,Custom is a second nature,C,C1,C1d,C1d-13
355,example,"Jung gewohnt, alt getan",C,C1,C1d,C1d-13
356,example,El lobo viejo a la tarde aulla,C,C1,C1d,C1d-13
357,example,"First love, last love",C,C1,C1d,C1d-16
358,example,True love never grows old,C,C1,C1d,C1d-16
359,example,Alte Liebe rostet nicht,C,C1,C1d,C1d-16
360,example,Antiquus amor cancer est,C,C1,C1d,C1d-16
361,example,Old dogs will learn no new tricks,C,C1,C1d,C1d-17
362,example,An old dog cannot alter his way of barking,C,C1,C1d,C1d-17
363,example,Trust not a woman even when dead,C,C1,C1d,C1d-18
364,example,Mulieri ne mortuae quidem credendum est (Latin),C,C1,C1d,C1d-18
365,example,Il ne faut pas se fier à femme morte,C,C1,C1d,C1d-18
366,example,"De la mala mujer te guarda, y de la buena no fíes nada",C,C1,C1d,C1d-18
367,example,An old ox makes a straight furrow,C,C1,C1d,C1d-19
368,example,Mit altem Hunde sicherste Jagd,C,C1,C1d,C1d-19
369,example,"Bue vecchio, solco diritto",C,C1,C1d,C1d-19
370,example,Old habits die hard,C,C1,C1d,C1d-21c
371,example,"What youth is used to, age remembers",C,C1,C1d,C1d-21c
372,example,"Jung gewohnt, alt getan",C,C1,C1d,C1d-21c
373,example,"Cui puer assuescit, maior dimittere nescit (Latin)",C,C1,C1d,C1d-21c
374,example,Sus magis in caeno gaudet quam fonte sereno (Latin),C,C1,C1d,C1d-23
375,example,Sus magis in caeno gaudet quam fonte sereno,C,C1,C1d,C1d-23
376,example,"As you sow, you shall mow",C,C2,C2b,C2b-10
377,example,"As you brew, so you must drink",C,C2,C2b,C2b-10
378,example,"Du hast den Brei gekocht, iss ihn aus",C,C2,C2b,C2b-10
379,example,"Qui a tiré le vin, le boit",C,C2,C2b,C2b-10
380,example,"Sow thin, shear thin",C,C2,C2b,C2b-10c
381,example,Böse Saat trägt böse Früchte,C,C2,C2b,C2b-10c
382,example,Neglectis urenda filix innascitur agris (Latin),C,C2,C2b,C2b-10c
383,example,"Quien mal siembra, mal coge",C,C2,C2b,C2b-10c
384,example,He that sows the wind will reap the whirlwind,C,C2,C2b,C2b-11
385,example,Wer Wind sät wird Sturm ernten,C,C2,C2b,C2b-11
386,example,Ventum seminabant et turbinent metent (Latin),C,C2,C2b,C2b-11
387,example,"Early sow, early mow",C,C2,C2b,C2b-13b
